,Paragraph,T_Cosine,Goal,Target,PText,TargetText
10,11,0.125098599,10,10.9,"A particular significance of the Eleventh Plan is that it serves as a vital platform for  achieving three key and related national milestones by the year 2020, which are  namely the objectives articulated in “Bhutan 2020: A Vision for Peace, Prosperity,  and Happiness” (Vision 2020), the objectives of self reliance and full employment  of the EDP 2010 and graduating from the list of Least Developed Countries (LDCs).  While our socio economic indicators show that we are making good progress  towards achieving these milestones by 2020, with less than 7 years remaining, there  are important challenges that need to be urgently addressed","Encourage official development assistance and financial flows, including foreign direct investment, to States where the need is greatest, in particular least developed countries, African countries, small island developing States and landlocked developing countries, in accordance with their national plans and programmes "
11,12,0.049521608,3,3.13,"Key challenges related to Vision 2020 include strengthening the various processes,  interactions and systems of a well functioning democracy; ensuring quality of  social outcomes due to widening disparities and inequalities in health, education,  income and unemployment; addressing new social challenges arising from rapid  development and urbanization; diversification of the economy to reduce economic  vulnerability and absorb a growing and increasingly educated labour force;  balancing our high environmental aspirations and pressing developmental needs;  and strengthening the capacity of key national and local government institutions","Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks"
12,13,0.063451184,17,17.17,"With regard to the EDP 2010, much remains to be done in terms of the progress of  activities to facilitate private sector development and economic growth. A major  challenge is to ensure that the objectives of EDP 2010 are supported by clear cut  strategies, policies, and support systems that harness our competitive advantage  and address vital constraints. In this regard, the effective engagement of the  private sector as a collaborative partner in the design of a clear roadmap for the      Eleventh Five Year Plan   Main Document Volume I  implementation of the EDP 2010 during the Eleventh Plan period is imperative and  will be accorded high priority","Encourage and promote effective public, public-private and civil society partnerships, building on the experience and resourcing strategies of partnerships"
13,14,0.110604504,10,10.1,"While it is projected that Bhutan will be graduating from the list of Least Developed  Countries (LDCs), based on the income criteria, it remains below the graduation  threshold on the Human Assets Index (HAI) and Economic Vulnerability Index (EVI).  The challenges confronting HAI include high malnutrition among children, a high  under five mortality rates of 69 per 1,000 live births (AHB 2012) and a low adult  literacy rate of 55.3 percent (BLSS 2012). EVI challenges include a small population  size, being geographically remote and landlocked, instability of exports of goods  and services, high vulnerability to natural disasters and instability of agricultural  production. Improving HAI and EVI will be vital to reach the graduation threshold","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average "
14,14,0.110604504,10,10.1,"While it is projected that Bhutan will be graduating from the list of Least Developed  Countries (LDCs), based on the income criteria, it remains below the graduation  threshold on the Human Assets Index (HAI) and Economic Vulnerability Index (EVI).  The challenges confronting HAI include high malnutrition among children, a high  under five mortality rates of 69 per 1,000 live births (AHB 2012) and a low adult  literacy rate of 55.3 percent (BLSS 2012). EVI challenges include a small population  size, being geographically remote and landlocked, instability of exports of goods  and services, high vulnerability to natural disasters and instability of agricultural  production. Improving HAI and EVI will be vital to reach the graduation threshold","By 2030, reduce to less than 3 per cent the transaction costs of migrant remittances and eliminate remittance corridors with costs higher than 5 per cent"
15,15,0.242403621,10,10.1,"Chapter Two reviews the demographic trends and the state of socio economic  development progress thus far. The first decennial Population and Housing Census  of Bhutan (PHCB 2005) reports actual resident population of 634,982 comprising  of 52.5 percent were males and 47.5 percent females. Of particular significance  is the age structure, with 56 percent of the total population below the age of 24  years. A key consideration for the current and future plans is the rapid growth in  rural to urban migration, which was estimated at 111,770 persons in 2005. The  rural and urban composition was 69.1 per cent and 30.9 percent respectively  and the population density was 16 persons per square kilometer. According to  PHCB 2005, approximately 21,894 persons or 3.4 percent of the total population  were differently abled, with speech, hearing, visual and mobility being the most  common forms of impairment. The population growth rate has been on the decline  from 3.1 per cent in 1994 to 1.3 percent in 2012 and is projected to further decline  to 1.1 percent by 2020. Despite this declining trend, the population is expected to  increase to 818,791 persons by 2020 and to more than a million by 2050","By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average "
16,15,0.242403621,10,10.1,"Chapter Two reviews the demographic trends and the state of socio economic  development progress thus far. The first decennial Population and Housing Census  of Bhutan (PHCB 2005) reports actual resident population of 634,982 comprising  of 52.5 percent were males and 47.5 percent females. Of particular significance  is the age structure, with 56 percent of the total population below the age of 24  years. A key consideration for the current and future plans is the rapid growth in  rural to urban migration, which was estimated at 111,770 persons in 2005. The  rural and urban composition was 69.1 per cent and 30.9 percent respectively  and the population density was 16 persons per square kilometer. According to  PHCB 2005, approximately 21,894 persons or 3.4 percent of the total population  were differently abled, with speech, hearing, visual and mobility being the most  common forms of impairment. The population growth rate has been on the decline  from 3.1 per cent in 1994 to 1.3 percent in 2012 and is projected to further decline  to 1.1 percent by 2020. Despite this declining trend, the population is expected to  increase to 818,791 persons by 2020 and to more than a million by 2050","By 2030, reduce to less than 3 per cent the transaction costs of migrant remittances and eliminate remittance corridors with costs higher than 5 per cent"
17,16,0.03912489,14,14.5,"Against this background, key demographic considerations for the Eleventh Plan include  the adoption of a National Population Policy to ensure proper demographic planning,  harnessing the potential “demographic bonus” presented by the current demographic  structure to create a vibrant and sustainable economy and addressing the challenges of  a gradually ageing population, growing differently abled persons and migratory trends","By 2020, conserve at least 10 per cent of coastal and marine areas, consistent with national and international law and based on the best available scientific information "
18,18,0.07720581,1,1.6,"   Eleventh Five Year Plan   Main Document Volume I  Sustainable and Equitable Socio economic Development: A review of the poverty  situation provides an overview of the progress made under this first pillar of GNH.  According to the “Poverty Analysis Report 2012”, the income poverty incidence  has declined from 31.7 percent in 2003 to 12 percent in 2012, exceeding the Tenth  Plan target of reducing poverty to 15 percent. Inequalities in income have also been  reduced with the Gini coefficient declining from 0.416 in 2003 to 0.36 over the  same period. These gains are largely attributed to the effective implementation of  targeted poverty reduction programmes such as the Rural Economy Advancement  Programme (REAP) and the National Rehabilitation Programme (NRP), in addition  to the broad based national socio economic development programmes. Despite  the progress made in the reduction of overall poverty and income inequalities,  significant challenges remain. Notably, poverty remains predominantly a rural  phenomenon and considerable regional disparities exist with more than half of  the 20 Dzongkhags having poverty rates above the national average of 12 percent,  with Lhuentse having the highest poverty rate at 31.9 percent. According to the  Bhutan Multiple Indicator Survey 2010, the multidimensional poverty incidence in  Bhutan was deemed to be 25.8 percent in 2010","Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions "
19,19,0.038793969,1,1.1,"Against this backdrop, the Eleventh Plan will strive to further reduce the income  poverty and multi dimensional rates to less than 5 percent and 10 percent  respectively by 2018. With regard to the MDGs, Bhutan has already achieved most  of the targets and is on track to achieve the rest by 2015. However, some of the  areas of concern such as malnutrition, female enrollment in tertiary education,  maternal and under five mortality rates, spread of HIV/AIDS and the challenges of  youth unemployment will need to be addressed in the Eleventh Plan","By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day "
20,20,0.133611883,16,16.12,"Preservation and Promotion of Culture: Besides the conservation of several Dzongs  and monasteries, a number of new initiatives have been taken in the areas of  archeology, conservation, infrastructure development, archiving and integrating  technology to promote Dzongkha. As provided in Article 4 of the Constitution,  which recognizes culture as an “evolving dynamic force”, emphasis is being  placed “to strengthen and facilitate the continued evolution of traditional values  and institutions that are sustainable as a progressive society”. In this regard,  the promotion of cultural industries has been given high priority and notable  achievements have been made in the promotion of local arts and crafts, nurturing  the film and music industry and diversifying cultural tourism. In view of the multiple  benefits it generates in terms of the promotion of culture, poverty reduction,      Eleventh Five Year Plan   Main Document Volume I  enhancing rural income and employment generation, this area will continue to  receive high priority in the Eleventh Plan",Promote and enforce non-discriminatory laws and policies for sustainable development
