,targetNumber,targetText
22,22,"In defining them, key aspects of the Vision 2020, Economic Development Policy 2010 (EDP 2010), the GNH 2010 Index, the Millennium Development Goals (MDGs) the SAARC Development Goals (SDGs), the Istanbul Programme of Action (IPoA), and the Strategy for GNH (SGNH) have also been taken into consideration."
23,23,"A particular significance of the Eleventh Plan is that it serves as a vital platform for achieving three key and related national milestones by the year 2020, which are namely the objectives articulated in Bhutan 2020: A Vision for Peace, Prosperity, and Happiness (Vision 2020), the objectives of self-reliance and full employment of the EDP 2010 and graduating from the list of Least Developed Countries (LDCs)."
24,24,"While our socio-economic indicators show that we are making good progress towards achieving these milestones by 2020, with less than 7 years remaining, there are important challenges that need to be urgently addressed."
25,25,"Key challenges related to Vision 2020 include strengthening the various processes, interactions and systems of a well-functioning democracy; ensuring quality of social outcomes due to widening disparities and inequalities in health, education, income and unemployment; addressing new social challenges arising from rapid development and urbanization; diversification of the economy to reduce economic vulnerability and absorb a growing and increasingly educated labour force; balancing our high environmental aspirations and pressing developmental needs; and strengthening the capacity of key national and local government institutions."
26,26,"With regard to the EDP 2010, much remains to be done in terms of the progress of activities to facilitate private sector development and economic growth."
27,27,"A major challenge is to ensure that the objectives of EDP 2010 are supported by clear-cut strategies, policies, and support systems that harness our competitive advantage and address vital constraints."
28,28,"In this regard, the effective engagement of the private sector as a collaborative partner in the design of a clear roadmap for the 5 Eleventh Five Year Plan - Main Document Volume I implementation of the EDP 2010 during the Eleventh Plan period is imperative and will be accorded high priority."
29,29,"While it is projected that Bhutan will be graduating from the list of Least Developed Countries (LDCs), based on the income criteria, it remains below the graduation threshold on the Human Assets Index (HAI) and Economic Vulnerability Index (EVI)."
30,30,"The challenges confronting HAI include high malnutrition among children, a high under five mortality rates of 69 per 1,000 live births (AHB 2012) and a low adult literacy rate of 55.3 percent (BLSS 2012)."
31,31,"EVI challenges include a small population size, being geographically remote and landlocked, instability of exports of goods and services, high vulnerability to natural disasters and instability of agricultural production."
32,32,Improving HAI and EVI will be vital to reach the graduation threshold.
33,33,Chapter Two reviews the demographic trends and the state of socio-economic development progress thus far.
34,34,"The first decennial Population and Housing Census of Bhutan (PHCB 2005) reports actual resident population of 634,982 comprising of 52.5 percent were males and 47.5 percent females."
35,35,"Of particular significance is the age structure, with 56 percent of the total population below the age of 24 years."
36,36,The rural and urban composition was 69.1 per cent and 30.9 percent respectively and the population density was 16 persons per square kilometer.
37,37,"According to PHCB 2005, approximately 21,894 persons or 3.4 percent of the total population were differently-abled, with speech, hearing, visual and mobility being the most common forms of impairment."
38,38,"Against this background, key demographic considerations for the Eleventh Plan include the adoption of a National Population Policy to ensure proper demographic planning, harnessing the potential demographic bonus presented by the current demographic structure to create a vibrant and sustainable economy and addressing the challenges of a gradually ageing population, growing differently-abled persons and migratory trends."
39,39,"In moving forward, it would be pertinent to take stock of key developments, including the progress made and challenges to be addressed, by categorizing them according to the four pillars of GNH."
40,40,6 Eleventh Five Year Plan - Main Document Volume I Sustainable and Equitable Socio-economic Development: A review of the poverty situation provides an overview of the progress made under this first pillar of GNH.
41,41,"According to the Poverty Analysis Report 2012, the income poverty incidence has declined from 31.7 percent in 2003 to 12 percent in 2012, exceeding the Tenth Plan target of reducing poverty to 15 percent."
42,42,Inequalities in income have also been reduced with the Gini-coefficient declining from 0.416 in 2003 to 0.36 over the same period.
43,43,"These gains are largely attributed to the effective implementation of targeted poverty reduction programmes such as the Rural Economy Advancement Programme (REAP) and the National Rehabilitation Programme (NRP), in addition to the broad based national socio-economic development programmes."
44,44,"Despite the progress made in the reduction of overall poverty and income inequalities, significant challenges remain."
45,45,"Notably, poverty remains predominantly a rural phenomenon and considerable regional disparities exist with more than half of the 20 Dzongkhags having poverty rates above the national average of 12 percent, with Lhuentse having the highest poverty rate at 31.9 percent."
46,46,"However, some of the areas of concern such as malnutrition, female enrollment in tertiary education, maternal and under five mortality rates, spread of HIV/AIDS and the challenges of youth unemployment will need to be addressed in the Eleventh Plan."
47,47,"Preservation and Promotion of Culture: Besides the conservation of several Dzongs and monasteries, a number of new initiatives have been taken in the areas of archeology, conservation, infrastructure development, archiving and integrating technology to promote Dzongkha."
48,48,"As provided in Article 4 of the Constitution, which recognizes culture as an evolving dynamic force, emphasis is being placed to strengthen and facilitate the continued evolution of traditional values and institutions that are sustainable as a progressive society."
49,49,"In this regard, the promotion of cultural industries has been given high priority and notable achievements have been made in the promotion of local arts and crafts, nurturing the film and music industry and diversifying cultural tourism."
50,50,"In view of the multiple benefits it generates in terms of the promotion of culture, poverty reduction, 7 Eleventh Five Year Plan - Main Document Volume I enhancing rural income and employment generation, this area will continue to receive high priority in the Eleventh Plan."
51,51,"Conservation and Sustainable Utilization and Management Environment: As a result of the traditionally high priority accorded to environmental conservation, Bhutan has been able to maintain forest coverage of 70.5 percent, exceeding the Constitutional mandate of maintaining 60 percent forest coverage at all times."
52,52,"With 51.32 percent of the country under a protected area network, Bhutan is host to one of the highest percentage of protected areas in the world."
53,53,We have successfully fulfilled international obligations under the Montreal Protocol and have pledged to perpetually remain a net carbon sink and carbon neutral country.
54,54,"While our achievements in environmental conservation have been laudable, our country has been a victim of natural disasters some of which are attributed to climate change."
55,55,"In the last five years, earthquake, cyclone, windstorm, floods, landslides and fires have been a frequent occurrence."
56,56,Ensuring a balance between our environmental aspirations and development needs are also increasingly challenging due to persistent human-wildlife conflict and the growing demand for natural resources.
57,57,Conservation of the natural environment to maintain a sustainable balance between economic development and environment conservation and improving disaster resilience and management will therefore be given utmost importance in the Eleventh Plan.
58,58,Promotion of Good Governance: Significant achievements have been made in the promotion of good governance.
59,59,Our democratic process has been further strengthened with the successful conduct of local government elections and second Parliamentary elections in 2011 and 2013 respectively.
60,60,Key constitutional bodies have been established and laws and regulations have been put in place to assist them in fulfilling their mandates.
61,61,"Further, several initiatives have been taken to strengthen public service management through civil service reforms and by enhancing efficiency in the delivery of public services."
62,62,"Transparency, financial accountability and control of corruption have been enhanced, through regular audits (600 audits in 2012) by an independently functioning Royal Audit authority; proactive measures by the independent Anti-Corruption Commission (ACC), which include the enactment of Anti-Corruption Act 2011 and the adoption of Gift Rules 2009 and the Asset Declaration Rule 2012; and fostering the growth of a free and responsible media, that includes 12 newspapers, six radio stations and two television news channels."
63,63,"In the area of child protection, major laws such as the Child Care and Protection Act 2011 and the Child Adoption Act of Bhutan 2012 have been enacted."
64,64,"Other legislations namely the Labour and Employment Act 2007, Marriage Act 1980, Inheritance Act 1980, Citizenship Act 1985 and Royal Bhutan Police Act 2009 also address relevant child issues."
65,65,Bhutan has also conducted a mapping and assessment of the Child Protection System in Bhutan and the developed a National Plan of Action for Child Protection in Bhutan.
66,66,"The assessment clearly indicated current child protection issues, challenges faced and recommendations which will be addressed in the Eleventh Plan in order to ensure systematic and effective prevention and response to child protection issues."
67,67,"Notwithstanding the achievements made, our efforts in promoting good governance needs to be consistent and relentlessly pursued as this pillar serves as the fundamental basis for the other three pillars of GNH and is vital for establishing a vibrant democracy."
68,68,"In particular, strengthening and supporting institutions combating corruption must be accorded high priority as there is no room for complacency when it comes to addressing this challenge."
69,69,Chapter Three discusses the Macroeconomic situation and the outlook for the Eleventh Plan.
70,70,"Bhutans economy remained largely unscathed by the global economic downturn in 2009, primarily due to its limited integration with the global economy."
71,71,"Although Bhutan weathered the global economic crisis, since 2011 the economy has been experiencing unprecedented macroeconomic policy challenges arising from a combination of related factors that include a surge in capital inflows for hydropower development, rapid credit expansion, successive build-up of current account deficits with India and consequently an acute and persistent shortfall in Rupee reserves that has yet to be effectively addressed."
72,72,"Remedial policy measures 9 Eleventh Five Year Plan - Main Document Volume I to address the lingering Rupee shortfall has resulted in a severe credit crunch in the banking sector, which continues to adversely affect private investment and growth."
73,73,Managing the rupee shortage is therefore of high priority to ensure a sound macroeconomic policy framework for effective implementation of the Eleventh Plan.
74,74,"Real Sector - The economy rendered a strong performance with real growth rate averaging 8 percent per annum over the five years of the Tenth Plan, which was fueled primarily by huge Government investments, particularly in the hydropower sector."
75,75,The lack of economic diversification has however resulted in a situation whereby large number of job seekers continues to be employed in the agriculture sector and those not willing to work in agriculture remain unemployed and poses significant macroeconomic challenges.
76,76,This has prompted the government to initiate efforts towards economic diversification that will be intensified during the Plan period.
77,77,"Establishing the necessary infrastructure, creating an enabling environment and targeted initiatives such as Rapid Investments in Selective Enterprises (RISE) will form the cornerstone of the governments diversification strategy."
78,78,"Despite a relatively high savings rate of 33.7 percent, Bhutans Gross Domestic Savings (GDS) has been inadequate to finance the significantly higher investment rate of 52.3 percent during the Tenth Plan."
79,79,Smoothening the growth in GDS to ensure greater predictability and effective intermediation through the financial sector to promote private investments is therefore a major issue of concern.
80,80,"Similar to savings, the high investment rate also needs to be assessed in light of the declining returns to capital and the high volatility in investments."
81,81,"Robust growth performance of the economy, increase in disposable incomes, and the rapid expansion of credit have contributed to a surge in imports and successive current account deficits."
82,82,"Given limited domestic capacity, there are concerns that the Bhutanese economy is overheating, putting upward pressures on prices, wages and the real exchange rate."
83,83,Inflation measured by CPI averaged about 7.7 percent per annum during the Tenth Plan.
84,84,The year-on-year inflation rate peaked to 13.53 percent in the 2nd quarter of 2012 and has and since then been on the decline.
85,85,"10 Eleventh Five Year Plan - Main Document Volume I External Sector - The Tenth Plan period witnessed high volatility and a widening of current account deficits ranging from 1.2 percent of GDP in 2008/09 to 27.6 percent in 2010/11, which culminated in an acute shortage of Indian Rupee (INR) reserves."
86,86,"While exports increased by 30.5 percent in the last five years (2008/09 - 2012/13), imports grew by 132 percent during the same period mainly due to surge in hydropower related imports and the rapid expansion of credit for consumption related imports."
87,87,"A research study by UNDESA on the underlying causes of the INR shortfall points to a combination of factors, that include the surge in unsterilized hydro-related inflows which has sparked a credit multiplier effect with a strong import bias and thereby created a mismatch in INR inflows and outflows."
88,88,"The overall balance of payments position during the Tenth Plan has been positive, with successive Capital Account surpluses, averaging Nu."
89,89,"15.6 billion annually, financing the Current Account deficits."
90,90,"However, close to 74 percent of the Net Capital inflows came in the form of external borrowings."
91,91,The long term outlook of the external sector appears bright with the significant increase in export revenues expected with the commissioning of the hydro projects.
92,92,"However, caution needs to be taken and appropriate measures identified in the medium term to monitor external financing risks, given the alarming increase in short term debt instruments that come at a considerably high interest rate of 10 percent."
93,93,"A key issues arising from the external imbalances is that of defending the Ngultrum-INR peg, which has become extremely challenging given the magnitude of the imbalances in recent years and the high costs of short-term borrowings to address them."
94,94,This lingering problem that has spilled over into the Eleventh Plan has prompted the need for monetary policy objectives to be better aligned with the longer term development objectives of the country.
95,95,"The rapid expansion of domestic credit has largely translated into imports, thereby exerting pressure on 11 Eleventh Five Year Plan - Main Document Volume I the peg and draining of INR reserves."
96,96,"Another challenge of the monetary sector is that the banking sector has been characterized by high volatility in its liquidity, with a volatility coefficient of 0.76 during the Tenth Plan."
97,97,"1.1 billion in 2011, liquidity spiked to Nu."
98,98,An important aspect of monetary policy in Bhutan involves the management of foreign reserves.
99,99,Convertible currency constitutes close to 90 percent of our foreign reserves despite the fact the major share of our current account transactions are denominated in INR.
100,100,The lingering INR shortfall and its effects provides a compelling argument for a more dynamic reserve management system that appropriately balances the composition of our reserves between INR and other convertible currencies and ensures the sustainability of the pegged exchange rate regime.
101,101,Fiscal Sector - The governments fiscal performance has also come under scrutiny as excessive spending by the government has been cited as a key cause of the Rupee crunch.
102,102,"With government expenditure averaging 39 percent of nominal GDP and the size of recent hydro power investments being nearly equivalent to GDP, such concerns are not without merit."
103,103,"However, the governments expenditure on the current account is offset to a large extent by corresponding inflows of aid and revenue from hydropower sales."
104,104,"Moreover, austerity measures that effect critical investments in public infrastructure and services would undermine broader national goals of inclusive growth and sustainable development."
105,105,"Nevertheless, various reforms to broaden the tax base and rein in unproductive and recurrent expenditure would help in addressing current macroeconomic imbalances."
106,106,The ceiling for fiscal deficit during the Eleventh Plan has been set significantly lower at 3 percent of GDP to ensure that the government limits deficit financing in view of the current liquidity crunch in the domestic market.
107,107,The macroeconomic challenges that transpired during the Tenth Plan period have also highlighted the need for effective coordination between monetary and fiscal authorities.
108,108,"For a small open economy like Bhutan, such coordination is critical to ensure a stable macroeconomic environment through periodic joint assessments of the real, fiscal and monetary sectors; formulation of mutually reinforcing preventive measures; and ensuring effective remedial measures during times of crisis."
109,109,The lingering INR crunch has brought the importance and need for such coordination to the fore.
110,110,"12 Eleventh Five Year Plan - Main Document Volume I Macro-economic outlook for the Eleventh Plan - Real GDP is projected to increase by an average of close to 12 percent per annum, with the hydropower sector driving most of the growth."
111,111,"While the projections show a very optimistic growth scenario, the macroeconomic challenges of recent years underscores the need to prudently address various issues in the real, external and monetary sectors."
112,112,"Given the huge revenue gains expected from the hydropower sector, there is also a growing imperative for preventive measures against the phenomenon of Dutch disease."
113,113,"In this regard, the prudent management and use of hydropower inflows towards an effective strategy for economic diversification, productivity enhancement through knowledge and skills development and employment creation will be critical."
114,114,"The external sector is expected to worsen with current account deficits averaging 28 percent of GDP per annum over the Plan period and as high as 34.7 percent of GDP in 2015/16, largely on account of imports for hydropower projects."
115,115,"External borrowing will continue to be the dominant source of financing the Current Account deficit, accounting for approximately 60 percent of all inflows."
116,116,The Eleventh Plan expenditure outlay is estimated to be around Nu.
117,117,213 billion of which 71 percent is allocated to the central agencies and 29 percent to the local governments.
118,118,"Of this, current expenditure is Nu.121 billion while capital expenditure is Nu.92 billion, which is an increase of 63 percent and 24 percent over that of the Tenth respectively."
119,119,Resources are projected at Nu.
120,120,"198 billion, comprising of domestic revenues of Nu.140 billion and external grants of Nu.58 billion."
121,121,"As such, the projected fiscal deficit is Nu."
122,122,"15 billion, or 2 percent of GDP, which will mainly be covered through concessional borrowings."
123,123,"Domestic resources are projected to increase by 55 percent due to the commissioning of three hydro-power projects while grants are projected to increase by 13 percent over that of the Tenth Plan, mainly on account of increase in Government of Indias assistance from Nu."
124,124,34 billion to Nu.45 billion.
125,125,The overall level of assistance from other development partners is projected to decline as a result of phasing out of assistance by some partners.
126,126,"The total public debt stock, 99 percent of which is external borrowings, is expected to increase by 135 percent in the Eleventh Plan, from Nu."
127,127,"Of the total debt, 80 percent is denominated in INR on account of borrowings for hydropower projects, which are expected to increase by 184 percent from Nu."
128,128,"While debt has been increasing substantially and is expected to be 121 percent of GDP, Bhutans debt stock is classified as sustainable since 80 percent of the debt are for self-liquidating hydro-power projects."
129,129,13 Eleventh Five Year Plan - Main Document Volume I Chapter Four introduces our socio-economic needs and aspirations for the next five years.
130,130,"It discusses the Eleventh Plan objectives, national key result areas and key performance indicators, strategic thrust areas and the mechanism for monitoring and evaluation."
131,131,The underlying objective of the Eleventh Plan is to achieve Self-reliance and Inclusive Green Socio-Economic Development.
132,132,Inclusive Social Development requires reducing poverty and inequality by enhancing the standard of living and the quality of life of the most vulnerable sections of our society.
133,133,Green Development means ensuring carbon neutral development at all times.
134,134,"To realize the Eleventh Plan objective of Self-reliance and Inclusive Green Socio- Economic Development, 16 National Key Result Areas (NKRAs), key national outcomes and outputs, needs to be achieved over the next five years."
135,135,"The 16 NKRAs, which are categorized under each of the four pillars of GNH, are defined as follows: Under the pillar of Sustainable and Equitable Socio-economic Development there are four NKRAs namely Sustained Economic Growth; Poverty Reduced and MDG Plus achieved; Food Secure and Sustained; and Full Employment."
136,136,"The achievement of these four NKRAs will be measured by corresponding Key Performance Indicators (KPIs) such as the annual GDP growth rates, inflation, poverty, enrollment, mortality, employment, cereal sufficiency target etc."
137,137,"Under the pillar of Preservation and Promotion of Culture there are two NKRAs defined as Strengthened Bhutanese Identity, Social Cohesion and Harmony; and Indigenous Wisdom, Arts and Crafts Promoted for Sustainable Livelihood."
138,138,"The corresponding KPIs to measure progress include GNH Index, rural households engaged in cultural industries and jobs created."
139,139,Under the pillar of Conservation and Sustainable Utilization and Management of the Environment there are four NKRAs namely Carbon Neutral/Green and Climate Resilient Development; Sustainable Utilization and Management of Natural Resources; Water Security; and Improved Disaster Resilience and Management Mainstreamed.
140,140,The NKRAs have corresponding KPIs to measure performance.
141,141,Water is given special focus in the Eleventh Plan in view of its 14 Eleventh Five Year Plan - Main Document Volume I importance for the basic survival of all living beings and for our hydroelectric projects and agriculture.
142,142,It has also been one of the major difficulties faced by the Dzongkhags and communities and therefore an ambitious target of ensuring 24 hours water supply has been set.
143,143,Under the pillar Promotion of Good Governance there are six NKRAs covering Improved Public Service Delivery; Democracy and Governance Strengthened; Gender Friendly Environment for Womens Participation; Corruption Reduced; Safe Society; and Needs of Vulnerable Group Addressed.
144,144,"The KPIs such as reducing turnaround time for Government to Citizen, Government to Business and Government to Government services; monitoring government performance; drafting legislation to ensure quota for women in elected offices; reducing female unemployment; implementation of national anti-corruption strategy; and reducing crime per 1,000 population will be the basis for tracking progress towards these NKRAs."
145,145,"The main strategic thrust to achieve the national outcomes and outputs will be on i) inclusive social development, ii) accelerated green economic development and iii) strategic infrastructure development."
146,146,"Inclusive social development which will focus on further reducing income and multidimensional poverty, address emerging social issues and improve social outcomes in health and education sectors."
147,147,"The targeted key interventions include the Rural Economy Advancement Programme (REAP) to address extreme rural poverty at village and community levels; the National Rehabilitation Programme (NRP) to enhance the productive asset base of marginalized households; the Local Government Empowerment Programme (LGEP) to enhance decision making capacity and improve service delivery through provision of essential equipment, machinery and Nu."
148,148,"2 million per year per Gewog; special programme for vulnerable groups such as senior citizens, differently-abled persons, and youth; and targeted health and education interventions to reach the unreached for Dzongkhags with poor health and education outcomes."
149,149,Green Accelerated Economic Development which will focus on economic diversification through the development of non-hydropower sectors and by fostering the growth of a dynamic private sector that catalyzes a transition to a green economy.
150,150,"Key interventions include the Economic Stimulus Programme 15 Eleventh Five Year Plan - Main Document Volume I to address the present credit crunch and make finances available for productive sectors; Rapid Investment in Selected Enterprises (RISE) Programme, the flagship programme to accelerate economic growth and achieve the objective of self reliance, will target an end-to-end development of non-hydro sectors such as tourism, agro-processing, construction, small and cottage industries including cultural industries and manufacturing and mining; optimizing opportunities of accelerated hydropower development to enhance local trade and commerce, participation of local private sector and workforce and aligning corporate social responsibilities of hydropower projects with local needs and plans; enabling environment through simplification of the policy and regulatory framework and facilitating vital infrastructure development such as surface and air transport, dry ports and industrial estates."
151,151,Strategic Infrastructure Development which will focus on development of critical infrastructure to complement the efforts under the above two thrust areas and to achieve the Eleventh Plan objectives.
152,152,"The investments will primarily be in urban, transport, ICT, energy, economic, social and cultural infrastructure."
153,153,"These include the development of 2 regional hubs and infrastructure facilities and services in Dzongkhag headquarters and towns; expansion and improvement of road and air connectivity; expansion of ICT infrastructure including a national data centre, government intranet system, national broadband master-plan and facilities for G2C, G2G and G2B services; expansion of energy infrastructure through the accelerated development of 10,000 MW of hydropower, construction of transmission lines and substations and expansion of rural electrification; the development of dry ports in Phuentsholing and Jigmeling or Nanglam and industrial parks in Mongar, Samtse, Samdrup Jongkhar and Sarpang; and construction of educational and health infrastructure and renovation/construction of Dzongs."
154,154,The chapter concludes with discussion on the proposed monitoring and elevation system of the Eleventh Plan.
155,155,The monitoring and evaluation will be based on the National Monitoring and Evaluation System (NMES) which comprises the monitoring and evaluation institutional set-up and procedures and the Planning & Monitoring system (PlaMS).
156,156,The Eleventh Plan will give particular emphasis to institutionalizing the evaluation of programmes and projects which are currently limited to those that are donor funded.
157,157,"Further, the Mid-Term Review of the Eleventh Plan will assess progress in the implementation of the Plan and make necessary adjustments in policies, programmes and projects and allocation of 16 Eleventh Five Year Plan - Main Document Volume I resources."
158,158,Two Round Table Meetings (RTM) will be held; one during the inception of the Eleventh Plan to sensitize development partners on the priorities and policies and the other towards the middle of the Plan to share progress in implementation of the Plan.
159,159,"Bilateral consultations, programme and project specific reviews, and monitoring and evaluation meetings will be held between the Royal Government and development partners."
160,160,Chapter Five presents the Central Plans and the Sector Key Result Areas (SKRAs) with corresponding KPIs.
161,161,"Education Sector: The key issues and challenges of this sector include last mile access to education, disparities in education outcomes at the local levels and catering to the special needs of children with disabilities."
162,162,A major issue of concern is the relevance and quality of education.
163,163,"Although improvements in efficiency indicators indicate that the quality of education has improved over the years, a number of reports reveal that an increasing numbers of students, including graduates from vocational and tertiary institutions, are inadequately prepared to enter the workforce, which has resulted in a paradoxical situation of relatively high levels of youth unemployment and a critical skills shortage at the same time."
164,164,"Evidently, changing realities, both domestic and external, are placing a demand on our education system to achieve higher standards at a scale that has never been met or required before."
165,165,"According to Royal Education Councils (REC) research study on the quality of education in Bhutan, the overall trend indicates that there is a big gap between the current and the desired state in the quality of outcomes and processes, with under- prepared teachers, lack of appropriate curricular resources, and poor instructional leadership and in-service training as the three critical reasons for the persistence of ineffective classroom practices across schools and arguably also across vocational and tertiary education institutions."
166,166,"A major challenge, which is also related to the above, is the sustainability of financing the expenditure of the education sector."
167,167,The main objectives of the education sector in the Eleventh Plan are to ensure quality of education service delivery; ensure education sustainability; and achieve MDG plus.
168,168,"Strategies include targeted intervention programmes, rationalization of schools through a consolidation programme; enhancing professional development for teachers; improved service delivery and promoting private participation."
169,169,"Health Sector: The key issues and challenge of this sector include delivering quality 17 Eleventh Five Year Plan - Main Document Volume I health care; acute shortage of all categories of health personnel against the growing need to expand health services; growing incidence of non-communicable diseases; spread of HIV/AIDS, TB, Malaria and outbreaks of Neglected Tropical Diseases (NTDs); maternal and child health; nutrition; and sustainable healthcare financing."
170,170,"The main objectives of this sector in the Eleventh Plan are to improve access to quality and equitable health services, strengthen preventive, promotive, rehabilitative and palliative health services and promote efficiency and effectiveness in financing and delivery of health services."
171,171,Strategies to achieve these objectives include greater emphasis on preventive and promotional measures; human resources development; sustainable health financing; standardization of eHealth and interoperability; and consolidation of health infrastructure.
172,172,Human Resource Development & Management: The key issues and challenges of this sector are the high percentage of civil servants not meeting the minimum qualification criteria; mismatch between skills and jobs available; retention of civil servants; and unsustainable growth in the size of civil service.
173,173,"To address these challenges, strategies will focus on creating a pool of skilled manpower aligned to meet the objectives of EDP 2010, with an emphasis on addressing the acute shortage of skilled professionals such as doctors, educationists, engineers, architects and ICT specialists; strengthening human resource management systems and processes to enhance performance, efficiency and motivation of the civil servants; review and ensure full implementation of National Human Resource Development Policy 2010 to address issues of coordination and synergies."
174,174,"Employment: Although the unemployment rate has declined from to 4.2 percent in 2008 to 2.1 percent in 2012, major challenges with regard to the quality of employment remain."
175,175,"There is also a lack of synergy between the education system and manpower needs given the shortage of skilled manpower across sectors, and a mismatch of employee aspirations and jobs available given significant import of labor, particularly in the construction sector."
176,176,"In the Eleventh Plan, 82,000 new jobs need to be created for approximately 120,000 job seekers, to achieve the target of full employment defined as unemployment of 2.5 percent."
177,177,The main objective of this sector is to achieve full and productive employment.
178,178,Strategies to achieve this objective include implementation of the Rapid Investments in Selected Enterprises (RISE) programme and strengthening linkages between the education system and manpower needs of the country to address the mismatch of skills and aspirations.
179,179,"18 Eleventh Five Year Plan - Main Document Volume I Renewable Natural Resources (RNR) Sector: The key issues and challenges of this sector are loss of agriculture land, declining productivity, human wildlife conflict, shortage of farm labourers and irrigation facilities, pest and disease management and weak post harvest management and facilities."
180,180,The key objectives of this sector in the Eleventh Plan are to enhance food and nutrition security; improve rural livelihood; accelerate and sustain RNR sector growth; and promote sustainable management and utilization of natural resources.
181,181,The strategies to achieve these objectives include targeted and commodity focused interventions; foster transition from subsistence to commercial agriculture; ensure an enabling environment; and promote private sector participation and contract farming.
182,182,"Tourism Sector: The key issues and challenges of this sector include accessibility, seasonality, the lack of regional spread and product diversification, shortage of skilled manpower in the form of trained guides, skilled workers in hospitality sector, qualified and experienced professionals in product development, destination marketing and other tourism-related services."
183,183,The sector is still largely dependent on international tour operators for arrivals.
184,184,The main objective of this sector in the Eleventh Plan is to continue promoting Bhutan as a high value low impact tourist destination.
185,185,"The key strategy will be to promote Bhutan as an exclusive destination based on high level of services, diversified tourism products and improved tourism infrastructure facilities."
186,186,"The focus will be on regional spread, addressing seasonality issues and community participation."
187,187,"Trade, Industries & Mines Sector: The key issue in terms of trade is the lack of product diversification of our exports, with about 80 percent of total exports consisting of electricity, mineral products and base metal, which are all highly vulnerable."
188,188,Diversification of our exports into agricultural and non-mineral and non-metal products requires substantial investments.
189,189,"In terms of industries, about 85 percent of Bhutanese industries are small and micro industries, which are constrained by lack of access to capital, technology, markets and labour resulting in low volume, high cost and inferior quality products."
190,190,The mining sector suffers from the absence of a clear mineral development policy and human resource constraints.
